time_s,displacement_m,velocity_m_per_s,acceleration_m_per_s2,elastic_force_n,damping_force_n,raw_force_n,force_n,analytical_force_n,contact_active
0.13,0.00020561343579004717,0.0031191922390172737,0.022644687731926842,0.10280671789502359,0.06238384478034548,0.16519056267536908,0.16519056267536908,0.16519056267536908,1.0
0.131,0.00020874394523275497,0.0031418214969161353,0.022613790842153442,0.10437197261637748,0.06283642993832271,0.1672084025547002,0.1672084025547002,0.1672084025547002,1.0
0.132,0.00021189706844770617,0.003164419746305227,0.022582670763393983,0.10594853422385309,0.06328839492610454,0.16923692914995764,0.16923692914995764,0.16923692914995764,1.0
0.133,0.000215072774314847,0.0031869867641489513,0.022551327802791083,0.1075363871574235,0.06373973528297902,0.17127612244040252,0.17127612244040252,0.17127612244040252,1.0
0.134,0.00021827103149124312,0.0032095223277199512,0.02251976226968711,0.10913551574562157,0.06419044655439902,0.1733259623000206,0.1733259623000206,0.1733259623000206,1.0
0.135,0.00022149180841138678,0.003232026214601314,0.022487974475621134,0.11074590420569339,0.06464052429202628,0.17538642849771968,0.17538642849771968,0.17538642849771968,1.0
0.136,0.00022473507328751085,0.0032544982026887596,0.02245596473432584,0.11236753664375543,0.06508996405377519,0.17745750069753063,0.17745750069753063,0.17745750069753063,1.0
0.137,0.00022800079410989965,0.003276938070192839,0.022423733361724464,0.11400039705494983,0.06553876140385678,0.1795391584588066,0.1795391584588066,0.1795391584588066,1.0
0.138,0.0002312889386472078,0.0032993455956411193,0.02239128067592763,0.1156444693236039,0.06598691191282238,0.18163138123642628,0.18163138123642628,0.18163138123642628,1.0
0.139,0.00023459947444677554,0.00332172055788037,0.02235860699723025,0.11729973722338777,0.0664344111576074,0.18373414838099517,0.18373414838099517,0.18373414838099517,1.0
0.14,0.00023793236883495135,0.003344062736078748,0.022325712648108346,0.11896618441747567,0.06688125472157495,0.1858474391390506,0.1858474391390506,0.1858474391390506,1.0
0.14100000000000001,0.00024128758891741293,0.0033663719097279726,0.022292597953215858,0.12064379445870646,0.06732743819455946,0.18797123265326593,0.18797123265326593,0.18797123265326593,1.0
0.14200000000000002,0.0002446651015794929,0.003388647858645508,0.02225926323938146,0.12233255078974645,0.06777295717291015,0.1901055079626566,0.1901055079626566,0.1901055079626566,1.0
0.14300000000000002,0.00024806487348650485,0.003410890362976731,0.022225708835605314,0.12403243674325243,0.06821780725953462,0.19225024400278706,0.19225024400278706,0.19225024400278706,1.0
0.14400000000000002,0.0002514868710840726,0.0034330992031971035,0.022191935073055842,0.1257434355420363,0.06866198406394207,0.19440541960597835,0.19440541960597835,0.19440541960597835,1.0
0.145,0.0002549310605984609,0.003455274160114338,0.02215794228506645,0.12746553029923044,0.06910548320228677,0.1965710135015172,0.1965710135015172,0.1965710135015172,1.0
0.146,0.0002583974080369103,0.003477415014870563,0.022123730807132223,0.12919870401845515,0.06954830029741126,0.1987470043158664,0.1987470043158664,0.1987470043158664,1.0
0.147,0.0002618858791879708,0.0034995215489444817,0.022089300976906645,0.1309429395939854,0.06999043097888963,0.20093337057287503,0.20093337057287503,0.20093337057287503,1.0
0.148,0.00026539643962184055,0.003521593544153525,0.022054653134198233,0.13269821981092028,0.0704318708830705,0.2031300906939908,0.2031300906939908,0.2031300906939908,1.0
0.149,0.00026892905469070525,0.0035436307826560132,0.02201978762096721,0.13446452734535264,0.07087261565312027,0.2053371429984729,0.2053371429984729,0.2053371429984729,1.0
0.15,0.0002724836895290803,0.0035656330469532975,0.02198470478132212,0.13624184476454013,0.07131266093906595,0.20755450570360606,0.20755450570360606,0.20755450570360606,1.0
0.151,0.00027606030905415494,0.0035876001198919135,0.02194940496151642,0.13803015452707748,0.07175200239783827,0.20978215692491575,0.20978215692491575,0.20978215692491575,1.0
0.152,0.00027965887796613855,0.0036095317846657183,0.021913888509945086,0.13982943898306927,0.07219063569331437,0.21202007467638362,0.21202007467638362,0.21202007467638362,1.0
0.153,0.00028327936074860866,0.0036314278248180355,0.02187815577714115,0.14163968037430433,0.07262855649636071,0.21426823687066504,0.21426823687066504,0.21426823687066504,1.0
0.154,0.00028692172166886186,0.0036532880242437886,0.021842207115772262,0.14346086083443094,0.07306576048487577,0.21652662131930672,0.21652662131930672,0.21652662131930672,1.0
0.155,0.00029058592477826633,0.003675112167191635,0.0218060428806372,0.14529296238913317,0.07350224334383271,0.21879520573296588,0.21879520573296588,0.21879520573296588,1.0
0.156,0.0002942719339126168,0.003696900038266093,0.021769663428662357,0.1471359669563084,0.07393800076532187,0.22107396772163027,0.22107396772163027,0.22107396772163027,1.0
0.157,0.00029797971269249104,0.0037186514224296727,0.021733069118898246,0.1489898563462455,0.07437302844859345,0.22336288479483896,0.22336288479483896,0.22336288479483896,1.0
0.158,0.00030170922452360944,0.0037403661050049927,0.021696260312515925,0.15085461226180472,0.07480732210009985,0.22566193436190457,0.22566193436190457,0.22566193436190457,1.0
0.159,0.00030546043259719577,0.0037620438716769043,0.021659237372803456,0.1527302162985979,0.07524087743353809,0.22797109373213598,0.22797109373213598,0.22797109373213598,1.0
0.16,0.00030923329989034103,0.003783684508494601,0.021622000665162303,0.15461664994517052,0.07567369016989202,0.23029034011506255,0.23029034011506255,0.23029034011506255,1.0
0.161,0.000313027789166368,0.0038052878018737324,0.02158455055710374,0.15651389458318402,0.07610575603747465,0.23261965062065865,0.23261965062065865,0.23261965062065865,1.0
0.162,0.00031684386297519963,0.0038268535385985176,0.021546887418245213,0.1584219314875998,0.07653707077197035,0.23495900225957017,0.23495900225957017,0.23495900225957017,1.0
0.163,0.0003206814836537278,0.00384838150582384,0.0215090116203067,0.16034074182686392,0.0769676301164768,0.2373083719433407,0.2373083719433407,0.2373083719433407,1.0
