target_id,population_stratum,stiffness_n_per_m,damping_n_s_per_m,effective_mass_kg,actual_risk_class,actual_severity_ratio
broad_s10116_c03,broad,2217.7574151842073,18.889973685461495,0.1900785499633362,SAFE,0.07522820776314869
broad_s10116_c04,broad,827.50911594715,8.83108289261883,5.299088650002956,SAFE,0.661
broad_s10116_c05,broad,1713.8221753531739,38.55857920947911,0.27563554537117774,SAFE,0.09725311331815287
broad_s10116_c06,broad,351.3126055879718,45.09450616527275,0.32848294184954135,SAFE,0.47441129072839977
broad_s10116_c07,broad,157.93879942945347,0.8198492724281615,0.5304367617756878,CAUTION,1.1146549458369344
broad_s10116_c08,broad,517.8186269142717,10.276728684175044,2.5918364150979603,SAFE,0.3717425467555966
broad_s10116_c09,broad,237.04567077185834,0.3589983468000655,0.13017072557734494,SAFE,0.7084510615270245
broad_s10116_c10,broad,114.13435760790489,2.2959878929515125,1.3723502512537478,UNSAFE,2.104693395720244
broad_s10116_c11,broad,1046.3795848658676,1.5141906236662617,0.8804650899867776,SAFE,0.16241971885440515
broad_s10117_c00,broad,108.33643035969942,3.7594746852995398,0.9588816261101641,UNSAFE,1.950305204584448
broad_s10117_c01,broad,2074.3612432540945,8.025662865539486,0.1851771652111161,SAFE,0.08047579407441639
broad_s10117_c02,broad,236.93957282400618,2.298683874632342,1.7363665066894038,UNSAFE,1.5
broad_s10117_c03,broad,399.0027113176566,26.82607973959716,0.2232513614575334,SAFE,0.41770810558221644
broad_s10117_c04,broad,546.3682209131051,0.3971453345874452,5.342189525902424,UNSAFE,1.5
broad_s10117_c05,broad,303.93757461126285,1.4021950340952003,0.10444774431560343,SAFE,0.5520169174060373
broad_s10117_c06,broad,1132.2567015690477,1.0204675879003755,0.5173631962640819,SAFE,0.14863330135858926
broad_s10117_c07,broad,1438.3958561889212,13.877613805904064,2.3268384239963162,SAFE,0.12051252272230434
broad_s10117_c08,broad,146.74634225726766,0.5063413078982282,0.7384148061164959,UNSAFE,1.5
broad_s10117_c09,broad,879.1459812853991,6.26039646531978,3.6637230302682986,SAFE,0.21353972074473598
broad_s10117_c10,broad,732.452129799002,24.585940676737106,0.28876326991838586,SAFE,0.22761716611154878
broad_s10117_c11,broad,79.57875527131728,57.878476555531165,1.0926738514845749,UNSAFE,2.072260148537544
broad_s10118_c00,broad,1035.9793591733487,27.615350786532204,1.2201191323005323,SAFE,0.163606423346258
broad_s10118_c01,broad,2412.825332200269,3.1812736917380904,0.29354042608796943,SAFE,0.06924428837685102
broad_s10118_c02,broad,551.0926489820406,12.47222306338506,0.10925856491934754,SAFE,0.302523234680622
broad_s10118_c03,broad,1577.410900737766,1.883183961256538,0.1633084761265722,SAFE,0.10587677357047087
broad_s10118_c04,broad,372.06716759064943,17.892640682939888,0.21352983882685783,SAFE,0.44794779325982936
broad_s10118_c05,broad,215.71451638944316,0.6475248985237511,2.864972669135932,UNSAFE,1.9121262836995652
broad_s10118_c06,broad,89.16286428074747,0.3762991923742113,0.6314040761767724,UNSAFE,2.530215093873706
broad_s10118_c07,broad,590.5789085149262,53.141399486778845,1.7409078225769627,SAFE,0.28295398177798686
broad_s10118_c08,broad,126.77929937950316,4.35317466313919,4.205776788513663,UNSAFE,2.127886123218178
broad_s10118_c09,broad,179.60207682446702,8.153163671512443,0.4400659134889595,SAFE,0.9555512050174918
broad_s10118_c10,broad,309.0637166545105,0.9416445593885484,0.905615363199389,SAFE,0.5493536235848244
broad_s10118_c11,broad,1359.7626353660798,1.7343730972984062,5.113516967738839,SAFE,0.1347026065771141
broad_s10119_c00,broad,2179.829551619172,56.0568001546467,0.6860723939068365,SAFE,0.07654359755889006
broad_s10119_c01,broad,1630.6317932758564,8.123916864210548,1.8691792107666387,SAFE,0.10431638775356977
broad_s10119_c02,broad,83.31293797766732,2.5778717202422174,0.8734743527812158,UNSAFE,2.6734437331741936
broad_s10119_c03,broad,158.24470808971955,5.869517575352023,0.4691127872512773,CAUTION,1.1031683184038088
broad_s10119_c04,broad,216.79220364069576,22.889399265750008,0.246957361930724,SAFE,0.7687853339176988
