observation_duration_s,noise_regime,feature_set,outcome,trial_count,median_absolute_error,p95_absolute_error,median_abs_relative_error,p95_abs_relative_error,upper_bound_coverage
0.0,high,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.0006041479005437921,0.009219067035411118,0.046215494478665256,0.16135060003077492,0.9333333333333333
0.0,high,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,4.163163193247744e-07,0.0022590456110509172,0.8808164729621535,26.774836472712312,0.9208333333333333
0.0,high,physical_chirp_ringdown,hold_settling_time_s,240,0.06838090660388524,1.0259645944066087,0.27725592608024635,243205364.24459648,0.9666666666666667
0.25,low,chirp_only,peak_displacement_m,240,0.00022582744386692808,0.0024393573998932666,0.04645120871845104,0.16409271156537028,0.9708333333333333
0.25,low,chirp_only,peak_velocity_m_per_s,240,0.0005367184710824251,0.00646996194292551,0.04244264806740509,0.16556381097864406,0.975
0.25,low,chirp_only,late_hold_oscillation_rms_m,240,2.562144481322362e-07,0.001680864448725884,0.8726138203800291,16.973988128554094,0.9208333333333333
0.25,low,chirp_only,hold_settling_time_s,240,0.07071343198189028,0.9741129984090243,0.2471449827832286,282683064.8454642,0.9666666666666667
0.25,low,ringdown_only,peak_displacement_m,240,0.0016725599994585078,0.011297985763337758,0.3180026356093697,2.143836895272202,0.9625
0.25,low,ringdown_only,peak_velocity_m_per_s,240,0.005765558491306643,0.038150834357589355,0.31007629270729276,1.7161099768682313,0.9666666666666667
0.25,low,ringdown_only,late_hold_oscillation_rms_m,240,4.920983542295903e-07,0.0015315830600411541,0.9127481803010178,106.26278128729145,0.9541666666666667
0.25,low,ringdown_only,hold_settling_time_s,240,0.2360260346413212,1.8094088992818873,0.6474447475586304,837284342.7613506,0.9375
0.25,low,chirp_ringdown,peak_displacement_m,240,0.00017771370745500378,0.0028665013321610383,0.039631166244680785,0.16755955265954692,0.9666666666666667
0.25,low,chirp_ringdown,peak_velocity_m_per_s,240,0.00042378793706886707,0.0063530479203375186,0.03322939017388497,0.12437628908368577,0.9625
0.25,low,chirp_ringdown,late_hold_oscillation_rms_m,240,2.563523217104286e-07,0.002111233165709102,0.8052115451741202,20.10519074302359,0.9458333333333333
0.25,low,chirp_ringdown,hold_settling_time_s,240,0.06771224628023081,1.064919191240098,0.3780709221154457,238437838.9609603,0.9666666666666667
0.25,low,physical_chirp_ringdown,peak_displacement_m,240,0.00018333704334691774,0.0029692806165148304,0.03920994873506284,0.16476439247660374,0.9708333333333333
0.25,low,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.0004378109184616204,0.006352914864794404,0.03315248366521832,0.12262255539183742,0.9666666666666667
0.25,low,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,1.6940708322284493e-07,0.001547731553708914,0.8081734968846355,18.844602645369132,0.9333333333333333
0.25,low,physical_chirp_ringdown,hold_settling_time_s,240,0.06893702119305636,1.0499371208929633,0.3731096433524191,240973457.45240748,0.9708333333333333
0.25,nominal,chirp_only,peak_displacement_m,240,0.0002019722636251815,0.002929618191664315,0.04816535533467865,0.16618433967590296,0.9625
0.25,nominal,chirp_only,peak_velocity_m_per_s,240,0.00041663747718044064,0.007083586648864829,0.038978467878216655,0.15778580833714376,0.9666666666666667
0.25,nominal,chirp_only,late_hold_oscillation_rms_m,240,3.185148817448692e-07,0.0020591496965017653,0.9141261800079903,18.420168649648073,0.9041666666666667
0.25,nominal,chirp_only,hold_settling_time_s,240,0.0792782678771082,0.9394175435350767,0.294348732367561,286312641.96321917,0.9708333333333333
0.25,nominal,ringdown_only,peak_displacement_m,240,0.001795173276328976,0.012923640312623634,0.3251227943896472,2.1424045016293674,0.9625
0.25,nominal,ringdown_only,peak_velocity_m_per_s,240,0.005612058040972774,0.03862345555829308,0.31128449108954215,1.913999488070287,0.9666666666666667
